Subject,Class_Level,Strand_Number_and_Name,Sub_Strand_Number_and_Name,Content_Standard,Indicator,Phase_2_Main_Exemplers,Core_Competencies_Values
"Ghanaian Language","B7","B7.1 CUSTOMS AND INSTITUTIONS","B7.1.1 Rites of Passage: childhood rites","B7.1.1.1 Demonstrate knowledge and understanding of the childhood rites of his/her culture and compare with other Ghanaian cultures.","B7.1.1.1.1 Identify the processes involved in naming a child.","1. Discuss the outdooring and the naming process of a child in their community. E.g. outdooring/ushering the baby, invitation of ancestors, giving the baby a name, blessing, presentation of gifts. 2. Identify the items used in the naming process and write them. 3. Explain the significance of the items used for the naming ceremony.","Communication and Collaboration (Demonstrate behaviour and skills of working towards group goals) (Identify and analyse different points of views of speaker)"
"Ghanaian Language","B7","B7.1 CUSTOMS AND INSTITUTIONS","B7.1.1 Rites of Passage: childhood rites","B7.1.1.1 Demonstrate knowledge and understanding of the childhood rites of his/her culture and compare with other Ghanaian cultures.","B7.1.1.1.2 Discuss the significance of the processes in naming a child","1. Read a one hundred and fifty words passage on naming ceremony in his or her culture. 2. Discuss the significance of the processes involved in naming a child as raised in the passage. 3. Discuss libation text used during naming ceremony. 4. Write the three main parts of a libation text.","Communication and Collaboration (Demonstrate behaviour and skills of working towards group goals) (Identify and analyse different points of views of speaker)"
"Ghanaian Language","B7","B7.1 CUSTOMS AND INSTITUTIONS","B7.1.1 Rites of Passage: childhood rites","B7.1.1.1 Demonstrate knowledge and understanding of the childhood rites of his/her culture and compare with other Ghanaian cultures.","B7.1.1.1.3 Compare and contrast the naming processes in his/her culture to other Ghanaian cultures.","1. Discuss the naming process of one other culture of Ghana and compare with the naming process of his/her people. 2. Write about commonalities and differences among the cultures.","Communication and Collaboration (Explain ideas in a clear order with relevant detail, using conjunctions to structure and speech)"
"Ghanaian Language","B7","B7.1 CUSTOMS AND INSTITUTIONS","B7.1.1 Rites of Passage: childhood rites","B7.1.1.1 Demonstrate knowledge and understanding of the childhood rites of his/her culture and compare with other Ghanaian cultures.","B7.1.1.1.4 Compare and contrast the traditional naming process to the contemporary naming process.","1. Discuss the contemporary naming processes and compare it with the traditional naming processes in Ghana. 2. Show the similarities and differences.","Communication and Collaboration (Explain ideas in a clear order with relevant detail, using conjunctions to structure and speech)"
"Ghanaian Language","B7","B7.1 CUSTOMS AND INSTITUTIONS","B7.1.1 Rites of Passage: childhood rites","B7.1.1.1 Demonstrate knowledge and understanding of the childhood rites of his/her culture and compare with other Ghanaian cultures.","B7.1.1.1.5 Role play a naming ceremony session in his/her culture.","1. Role play a naming ceremony among your people. 2. Discuss the role play and what they have learnt from it.","Communication and Collaboration (Effectively perform multiple roles within the group) (Speak clearly and explain ideas. Share a narrative or extended answer while speaking to a group)"
"Ghanaian Language","B7","B7.1 CUSTOMS AND INSTITUTIONS","B7.1.2 Naming Systems: Day names, order of birth names","B7.1.2.1 Exhibit understanding of day names and order of birth names and relate the names to the days and order.","B7.1.2.1.1 State the names of the days of the week and relate their names to the days.","1. State the names of the days of the week and important occasion (e.g festival) months of the year in the Ghanaian language of study. 2. Relate the names of the days of the week or months of the year to human names.","Communication and Collaboration (Provide feedback in areas of ideas, organisation, voice, word choice and sentence fluency in communication)"
"Ghanaian Language","B7","B7.1 CUSTOMS AND INSTITUTIONS","B7.1.2 Naming Systems: Day names, order of birth names","B7.1.2.1 Exhibit understanding of day names and order of birth names and relate the names to the days and order.","B7.1.2.1.2 State the order of birth (i.e. first, second, and so on.) and relate the names accordingly.","1. State the order of birth of his or her culture. E.g. first born, second born, and so on. 2. Relate the names to the order of birth.","Communication and Collaboration (Identify underlying themes, implications and issues when listening)"
"Ghanaian Language","B7","B7.1 CUSTOMS AND INSTITUTIONS","B7.1.3 The Clan System","B7.1.3.1: Demonstrate an understanding of the clan system among their people.","B7.1.3.1.1 Describe the clan system and state some clans in his/her community.","1. Explain what a clan is. 2. State some clans you know.","Communication and Collaboration (Explain ideas in a clear order with relevant detail, using conjunctions to structure and speech.)"
"Ghanaian Language","B7","B7.1 CUSTOMS AND INSTITUTIONS","B7.1.4 Chieftaincy: Installment and Distoolment","B7.1.4.1 Demonstrate knowledge and understanding of how chiefs and queenmothers are selected, enstooled/enskinned and compare their duties and responsibilities.","B7.1.4.1.1 Discuss how chiefs and queenmothers are selected in his/her ethnic community.","1. Read a passage of about three to four paragraphs on how chiefs and queenmothers are selected in your community. 2. Identify the traditional leaders mentioned in the passage. 3. Relate how chiefs and queenmothers are selected among your people to the passage read.","Communication and Collaboration (Demonstrate behaviour and skills of working towards group goals)"
"Ghanaian Language","B7","B7.2 LISTENING AND SPEAKING","B7.2.1: Conversation/Everyday Discourse","B7.2.1.1: Demonstrate use of appropriate language orally in specific situations","B7.2.1.1.1. Use appropriate register in everyday communication (informal and formal) with diverse partners on grade-level topics/texts/issues","1. Identify formal situations. 2. Use appropriate language to participate in formal interactions. 3. Identify informal situations. 4. Use appropriate language to participate in conversations in the following situations: Greetings, requests, encouragements, partings.","Communication and Collaboration (Provide feedback in areas of ideas, organisation, voice, word choice and sentence fluency in communication)"
